<<<msexch_database:sep(59)>>>
locale; en-US
"Path";"CookedValue"
"\\winmx\msexchange database ==> instances(information store/_total)\defragmentation tasks";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\defragmentation tasks pending";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\sessions in use";"8"
"\\winmx\msexchange database ==> instances(information store/_total)\sessions % used";"0.748362956033676"
"\\winmx\msexchange database ==> instances(information store/_total)\table open cache % hit";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\table open cache hits/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\table open cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\table opens/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\table closes/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\tables open";"4294967153"
"\\winmx\msexchange database ==> instances(information store/_total)\log bytes write/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\log bytes generated/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\log threads waiting";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\log generation checkpoint depth";"39"
"\\winmx\msexchange database ==> instances(information store/_total)\log generation checkpoint depth target";"102"
"\\winmx\msexchange database ==> instances(information store/_total)\log checkpoint depth as a % of target";"38.2352941176471"
"\\winmx\msexchange database ==> instances(information store/_total)\log generation checkpoint depth max";"10240"
"\\winmx\msexchange database ==> instances(information store/_total)\log generation loss resiliency depth";"1"
"\\winmx\msexchange database ==> instances(information store/_total)\log files generated";"20"
"\\winmx\msexchange database ==> instances(information store/_total)\log files generated prematurely";"2"
"\\winmx\msexchange database ==> instances(information store/_total)\log file current generation";"40"
"\\winmx\msexchange database ==> instances(information store/_total)\log writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\log record stalls/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\version buckets allocated";"1"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache size (mb)";"247"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache % hit";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache % hit (unique)";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache requests/sec (unique)";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache requests/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\streaming backup pages read/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database maintenance duration";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database reads average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o log reads/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o log reads average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o database writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o flush map writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o flush map writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o log writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\i/o log writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database cache miss (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store/_total)\database oldest transaction";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\defragmentation tasks";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\defragmentation tasks pending";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\sessions in use";"13"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\sessions % used";"0.608044901777362"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\table open cache % hit";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\table open cache hits/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\table open cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\table opens/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\table closes/sec";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\tables open";"0"
"\\winmx\msexchange database ==> instances(edgetransport/_total)\log bytes write/sec";"0"
