Name,Version,License,Link License Text,Repository path,Comment
asio,1.24.0,BSL-1.0,https://opensource.org/licenses/BSL-1.0,third_party/asio/asio-1.24.0-patched.tar.gz,
charset-normalizer,3.2.0,MIT,https://opensource.org/licenses/MIT,non-free/cmk-update-agent/src/pip-32/charset-normalizer-3.2.0.tar.gz,
charset-normalizer,3.2.0,MIT,https://opensource.org/licenses/MIT,non-free/cmk-update-agent/src/pip/charset-normalizer-3.2.0.tar.gz,
cpp-httplib,0.11.3,MIT,https://opensource.org/licenses/MIT,omd/packages/httplib/cpp-httplib-0.13.3.tar.gz,
fmt,10.2.1,MIT,https://opensource.org/licenses/MIT,third_party/fmt/fmt-10.2.1.tar.gz,
googletest,1.10.0,BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,third_party/googletest/googletest-71140c3ca7-patched.tar.gz,
mod_wsgi,4.9.4,Apache-2.0,https://opensource.org/licenses/Apache-2.0,omd/packages/mod_wsgi/mod_wsgi-4.9.4.tar.gz,
nagvis,1.9.40,GPL-2.0,https://opensource.org/licenses/GPL-2.0,omd/packages/nagvis/nagvis-1.9.40.tar.gz,
openhardwaremonitor,0.9.6,MPL-2.0,https://opensource.org/licenses/MPL-2.0,third_party/openhardwaremonitor/openhardwaremonitor-0.9.6.zip,
Perl module: Archive-Zip,1.68,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: base,2.18,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Capture-Tiny,0.27,Apache-2.0,https://opensource.org/licenses/Apache-2.0,,
Perl module: Carp-Clan,6.04,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Class-Accessor,0.34,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Class-MethodMaker,2.22,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Class-Singleton,1.5,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: common-sense,3.73,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Config-General,2.56,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Crypt-Blowfish_PP,1.12,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Data-Dumper,2.154,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: DateTime,1.18,Artistic-2.0,https://opensource.org/licenses/Artistic-2.0,,
Perl module: DateTime-Locale,0.45,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: DateTime-TimeZone,1.88,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Digest-MD5,2.54,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Digest-SHA1,2.13,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: ExtUtils-CBuilder,0.280220,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: ExtUtils-Constant,0.23,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: ExtUtils-MakeMaker,7.04,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: ExtUtils-ParseXS,3.24,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: File-SearchPath,0.06,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Getopt-Long,2.43,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: HTML-Parser,3.71,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: HTTP-Cookies,6.01,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: HTTP-Date,6.02,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: HTTP-Message,6.06,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: IO,1.25,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: IPC-Cmd,0.92,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: JSON,2.90,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: JSON-PP,2.27300,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: JSON-XS,3.01,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: libwww-perl,6.13,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: List-AllUtils,0.09,Artistic-2.0,https://opensource.org/licenses/Artistic-2.0,,
Perl module: Locale-Maketext-Simple,0.21,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,Also MIT
Perl module: LWP-Protocol-https,6.10,GPL-1.0,https://spdx.org/licenses/GPL-1.0.html,,
Perl module: Math-Calc-Units,1.07,GPL-2.0,https://opensource.org/licenses/GPL-2.0,,
Perl module: Module-Build,0.4007,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Module-CoreList,5.20150420,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Module-Find,0.12,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
Perl module: Module-Implementation,0.09,Artistic-2.0,https://opensource.org/licenses/Artistic-2.0,,
Perl module: Module-Install,1.16,GPL-3.0,https://opensource.org/licenses/GPL-3.0,,
